source	zh	note
2-PICK MYRRAN	米羅天賦 2 選點	headline
NON-11 BOOK MATCHING	非十一冊對等	headline
11-BOOK AI PREFERENCE	AI 偏好十一冊	headline
STRICT RETORT REQS	嚴格天賦條件	headline
NO SNOW SWIMMING	無雪地泅渡	headline
NO DEEP TUNDRA	無深層凍原	headline
MOUNTAINS OF GRASS	山地步兵草地	headline
LESSER HERO POWERUP	次要英雄強化	headline
V1.51 DEFAULT RELATIONS	v1.51 預設外交關係	headline
REVOLTING RAIDERS	大舉入侵的劫掠者	headline
MONSTERS GONE WILD	野性大爆發怪物	headline
ITEM THEMING	道具主題限制	headline
CHEAPER MISC STATS	廉價雜項屬性	headline
FIVE POWER ITEMS	五效果道具上限	headline
CHARGE ANY WEAPON	任意武器充能	headline
BETTER FAILED REWARDS	更佳替代獎勵	headline
ADAMANT ALCHEMY	精金煉金術天賦	headline
BACKUP SAVES	備份存檔	headline
V1.40 UNIT ESCAPES	v1.40 版單位撤退	headline
PREVIOUS CITY	上一座城市	headline
NEXT CITY	下一座城市	headline
MORE RANDOM ITEMS	更多隨機道具	headline
DEFAULT ITEM EDITOR	預設道具編輯器	headline
ABORT BUTTON	放棄按鈕	headline
PREVIOUS ITEM	上一件道具	headline
NEXT ITEM	下一件道具	headline
+ ATTACK	+攻擊	headline
+ DEFENSE	+防禦	headline
+ SPELL SKILL	+法術技能	headline
- SPELL SAVE	-法術抗性	headline
+ MOVEMENT	+移動力	headline
+ RESISTANCE	+抗性	headline
SWORD	劍	headline
MACE	錘	headline
AXE	斧	headline
BOW	弓	headline
STAFF	法杖	headline
WAND	魔杖	headline
MISCELLANEOUS ITEM	雜項道具	headline
SHIELD	盾牌	headline
CHAIN MAIL	鎖子甲	headline
PLATE MAIL	板甲	headline
PREVIOUS ICON	上一個圖示	headline
NEXT ICON	下一個圖示	headline
EDGE SCROLL DELAY	邊緣捲動延遲	headline
SCREEN EDGE SCROLLING	螢幕邊緣捲動	headline
LEGACY POINTER MOVEMENT	舊版指標移動	headline
ALLOW DUPLICATE KEYS	允許重複按鍵綁定	headline
KEYS BUTTON	按鍵設定	headline
BACK BUTTON	返回按鈕	headline
